"Year.Code","Month.Code","Age.of.Mother","Births","UnemploymentRate","CENSUSPOPEstThousands","BirthsPer1000Pop"
"2003","1","15-19 years",34928,5.50588235294118,290326.418,0.120305965404774
"2003","1","20-24 years",84714,5.50588235294118,290326.418,0.291788809931861
"2003","1","25-29 years",86521,5.50588235294118,290326.418,0.298012838776525
"2003","1","30-34 years",76967,5.50588235294118,290326.418,0.265105051514809
"2003","1","35-39 years",37346,5.50588235294118,290326.418,0.128634521988281
"2003","1","40-44 years",8234,5.528,290326.418,0.0283611806900742
"2003","1","45-49 years",342,6.18461538461538,290326.418,0.00117798442992535
"2003","1","50-54 years",14,6.8,290326.418,4.82215848507455e-05
"2003","1","Under 15 years",504,5.8952380952381,290326.418,0.00173597705462684
"2003","10","15-19 years",35360,5.52941176470588,290326.418,0.121793945737311
"2003","10","20-24 years",89694,5.52941176470588,290326.418,0.308941916543055
"2003","10","25-29 years",93927,5.52941176470588,290326.418,0.323522057162569
"2003","10","30-34 years",83630,5.52941176470588,290326.418,0.288055081504846
"2003","10","35-39 years",41172,5.52941176470588,290326.418,0.141812792248207
"2003","10","40-44 years",9200,5.558,290326.418,0.0316884700447756
"2003","10","45-49 years",437,5.88235294117647,290326.418,0.00150520232712684
"2003","10","Under 15 years",413,5.93,290326.418,0.00142253675309699
"2003","11","15-19 years",33387,5.46274509803922,290326.418,0.114998146672274
"2003","11","20-24 years",81961,5.46274509803922,290326.418,0.282306379710854
"2003","11","25-29 years",84354,5.46274509803922,290326.418,0.290548826321413
"2003","11","30-34 years",74455,5.46274509803922,290326.418,0.256452721433018
"2003","11","35-39 years",36716,5.46274509803922,290326.418,0.126464550669998
"2003","11","40-44 years",8166,5.52857142857143,290326.418,0.0281269615636563
"2003","11","45-49 years",365,5.62,290326.418,0.00125720560503729
"2003","11","Under 15 years",436,5.68947368421053,290326.418,0.00150175792820893
"2003","12","15-19 years",35743,5.41176470588235,290326.418,0.123113150522871
"2003","12","20-24 years",88899,5.41176470588235,290326.418,0.306203619403316
"2003","12","25-29 years",90893,5.41176470588235,290326.418,0.313071750845629
"2003","12","30-34 years",78975,5.41176470588235,290326.418,0.272021404541973
"2003","12","35-39 years",39204,5.41176470588235,290326.418,0.135034215177759
"2003","12","40-44 years",8800,5.41176470588235,290326.418,0.0303107104776114
"2003","12","45-49 years",395,5.93125,290326.418,0.0013605375725746
"2003","12","50-54 years",11,6.6,290326.418,3.78883880970143e-05
"2003","12","Under 15 years",430,5.83,290326.418,0.00148109153470147
"2003","2","15-19 years",32063,5.56470588235294,290326.418,0.110437762504961
"2003","2","20-24 years",77260,5.56470588235294,290326.418,0.266114260397757
"2003","2","25-29 years",81375,5.56470588235294,290326.418,0.280287961944958
"2003","2","30-34 years",72889,5.56470588235294,290326.418,0.251058792727571
"2003","2","35-39 years",34900,5.56470588235294,290326.418,0.120209522235073
"2003","2","40-44 years",7787,5.586,290326.418,0.0268215343737682
"2003","2","45-49 years",301,6.28181818181818,290326.418,0.00103676407429103
"2003","2","Under 15 years",423,5.98947368421053,290326.418,0.0014569807422761
"2003","3","15-19 years",34266,5.62549019607843,290326.418,0.118025773321117
"2003","3","20-24 years",83577,5.62549019607843,290326.418,0.287872528362197
"2003","3","25-29 years",89949,5.62549019607843,290326.418,0.309820238267122
"2003","3","30-34 years",81965,5.62549019607843,290326.418,0.282320157306525
"2003","3","35-39 years",37966,5.62549019607843,290326.418,0.130770049317386
"2003","3","40-44 years",8131,5.62549019607843,290326.418,0.0280064076015294
"2003","3","45-49 years",347,6.1375,290326.418,0.00119520642451491
"2003","3","Under 15 years",505,6.02083333333333,290326.418,0.00173942145354475
"2003","4","15-19 years",32822,5.67450980392157,290326.418,0.113052061283655
"2003","4","20-24 years",81271,5.67450980392157,290326.418,0.279929744457495
"2003","4","25-29 years",88187,5.67450980392157,290326.418,0.303751207373764
"2003","4","30-34 years",81159,5.67450980392157,290326.418,0.279543971778689
"2003","4","35-39 years",37869,5.67450980392157,290326.418,0.130435942622349
"2003","4","40-44 years",7779,5.7,290326.418,0.0267939791824249
"2003","4","45-49 years",272,6.21,290326.418,0.000936876505671626
"2003","4","50-54 years",15,6.9,290326.418,5.16659837686559e-05
"2003","4","Under 15 years",486,5.97826086956522,290326.418,0.00167397787410445
"2003","5","15-19 years",33345,5.72156862745098,290326.418,0.114853481917722
"2003","5","20-24 years",85435,5.72156862745098,290326.418,0.294272221551674
"2003","5","25-29 years",92517,5.72156862745098,290326.418,0.318665454688316
"2003","5","30-34 years",85956,5.72156862745098,290326.418,0.296066753387906
"2003","5","35-39 years",40128,5.72156862745098,290326.418,0.138216839777908
"2003","5","40-44 years",8366,5.72156862745098,290326.418,0.0288158413472383
"2003","5","45-49 years",319,6.05,290326.418,0.00109876325481341
"2003","5","Under 15 years",425,6.18947368421053,290326.418,0.00146386954011192
"2003","6","15-19 years",33004,5.73725490196078,290326.418,0.113678941886715
"2003","6","20-24 years",84275,5.73725490196078,290326.418,0.290276718806898
"2003","6","25-29 years",90121,5.73725490196078,290326.418,0.310412674881002
"2003","6","30-34 years",82107,5.73725490196078,290326.418,0.282809261952868
"2003","6","35-39 years",38881,5.73725490196078,290326.418,0.133921674327274
"2003","6","40-44 years",8030,5.80612244897959,290326.418,0.0276585233108204
"2003","6","45-49 years",292,6.06,290326.418,0.00100576448402983
"2003","6","Under 15 years",426,6.17894736842105,290326.418,0.00146731393902983
"2003","7","15-19 years",36263,5.73529411764706,290326.418,0.124904237960185
"2003","7","20-24 years",91918,5.73529411764706,290326.418,0.316602259736487
"2003","7","25-29 years",97131,5.73529411764706,290326.418,0.334557911295554
"2003","7","30-34 years",87111,5.73529411764706,290326.418,0.300045034138092
"2003","7","35-39 years",41740,5.73529411764706,290326.418,0.14376921083358
"2003","7","40-44 years",8940,5.776,290326.418,0.0307929263261189
"2003","7","45-49 years",392,6.18333333333333,290326.418,0.00135020437582087
"2003","7","50-54 years",15,6.9,290326.418,5.16659837686559e-05
"2003","7","Under 15 years",500,6.12608695652174,290326.418,0.0017221994589552
"2003","8","15-19 years",36858,5.68823529411765,290326.418,0.126953655316341
"2003","8","20-24 years",91798,5.68823529411765,290326.418,0.316188931866338
"2003","8","25-29 years",95847,5.68823529411765,290326.418,0.330135303084957
"2003","8","30-34 years",85264,5.68823529411765,290326.418,0.293683229336712
"2003","8","35-39 years",40517,5.68823529411765,290326.418,0.139556710956975
"2003","8","40-44 years",8771,5.72,290326.418,0.030210822908992
"2003","8","45-49 years",326,6.27692307692308,290326.418,0.00112287404723879
"2003","8","50-54 years",10,6.9,290326.418,3.44439891791039e-05
"2003","8","Under 15 years",447,6.02777777777778,290326.418,0.00153964631630594
"2003","9","15-19 years",36541,5.6156862745098,290326.418,0.125861780859364
"2003","9","20-24 years",91503,5.6156862745098,290326.418,0.315172834185555
"2003","9","25-29 years",95544,5.6156862745098,290326.418,0.32909165021283
"2003","9","30-34 years",85068,5.6156862745098,290326.418,0.293008127148801
"2003","9","35-39 years",41203,5.6156862745098,290326.418,0.141919568614662
"2003","9","40-44 years",8737,5.646,290326.418,0.0300937133457831
"2003","9","45-49 years",303,5.94166666666667,290326.418,0.00104365287212685
"2003","9","Under 15 years",488,5.98571428571429,290326.418,0.00168086667194027
"2004","1","15-19 years",35707,5.36862745098039,293045.739,0.121847873038004
"2004","1","20-24 years",85358,5.36862745098039,293045.739,0.291278761777185
"2004","1","25-29 years",88249,5.36862745098039,293045.739,0.301144115936113
"2004","1","30-34 years",76279,5.36862745098039,293045.739,0.260297250048055
"2004","1","35-39 years",37687,5.36862745098039,293045.739,0.128604497470615
"2004","1","40-44 years",8513,5.36862745098039,293045.739,0.029050072623646
"2004","1","45-49 years",350,5.70714285714286,293045.739,0.0011943528037444
"2004","1","Under 15 years",537,5.65652173913043,293045.739,0.00183247844460212
"2004","10","15-19 years",35120,5.11176470588235,293045.739,0.119844772764295
"2004","10","20-24 years",87964,5.11176470588235,293045.739,0.300171571510207
"2004","10","25-29 years",93222,5.11176470588235,293045.739,0.31811416305903
"2004","10","30-34 years",80843,5.11176470588235,293045.739,0.275871610608882
"2004","10","35-39 years",41108,5.11176470588235,293045.739,0.140278443018071
"2004","10","40-44 years",9078,5.11176470588235,293045.739,0.0309780992925476
"2004","10","45-49 years",380,5.24,293045.739,0.00129672590120821
"2004","10","50-54 years",10,5.3,293045.739,3.41243658212686e-05
