"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"Age of Mother"	"Age of Mother Code"	Births
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"15-19 years"	"15-19"	744
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"20-24 years"	"20-24"	1656
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"25-29 years"	"25-29"	1478
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"30-34 years"	"30-34"	935
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"35-39 years"	"35-39"	406
	"2007"	"2007"	"January"	"1"	"Alabama"	"01"	"40-44 years"	"40-44"	83
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"15-19 years"	"15-19"	90
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"20-24 years"	"20-24"	266
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"25-29 years"	"25-29"	241
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"30-34 years"	"30-34"	159
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"35-39 years"	"35-39"	87
	"2007"	"2007"	"January"	"1"	"Alaska"	"02"	"40-44 years"	"40-44"	19
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"Under 15 years"	"15"	16
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"15-19 years"	"15-19"	1054
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"20-24 years"	"20-24"	2374
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"25-29 years"	"25-29"	2441
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"30-34 years"	"30-34"	1756
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"35-39 years"	"35-39"	834
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"40-44 years"	"40-44"	187
	"2007"	"2007"	"January"	"1"	"Arizona"	"04"	"45-49 years"	"45-49"	14
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"Under 15 years"	"15"	11
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"15-19 years"	"15-19"	506
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"20-24 years"	"20-24"	1175
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"25-29 years"	"25-29"	992
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"30-34 years"	"30-34"	549
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"35-39 years"	"35-39"	234
	"2007"	"2007"	"January"	"1"	"Arkansas"	"05"	"40-44 years"	"40-44"	50
	"2007"	"2007"	"January"	"1"	"California"	"06"	"Under 15 years"	"15"	61
	"2007"	"2007"	"January"	"1"	"California"	"06"	"15-19 years"	"15-19"	4480
	"2007"	"2007"	"January"	"1"	"California"	"06"	"20-24 years"	"20-24"	10598
	"2007"	"2007"	"January"	"1"	"California"	"06"	"25-29 years"	"25-29"	12174
	"2007"	"2007"	"January"	"1"	"California"	"06"	"30-34 years"	"30-34"	10928
	"2007"	"2007"	"January"	"1"	"California"	"06"	"35-39 years"	"35-39"	6391
	"2007"	"2007"	"January"	"1"	"California"	"06"	"40-44 years"	"40-44"	1560
	"2007"	"2007"	"January"	"1"	"California"	"06"	"45-49 years"	"45-49"	112
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"15-19 years"	"15-19"	535
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"20-24 years"	"20-24"	1373
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"25-29 years"	"25-29"	1636
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"30-34 years"	"30-34"	1324
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"35-39 years"	"35-39"	754
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"40-44 years"	"40-44"	152
	"2007"	"2007"	"January"	"1"	"Colorado"	"08"	"45-49 years"	"45-49"	14
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"15-19 years"	"15-19"	252
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"20-24 years"	"20-24"	606
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"25-29 years"	"25-29"	835
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"30-34 years"	"30-34"	923
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"35-39 years"	"35-39"	635
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"40-44 years"	"40-44"	134
	"2007"	"2007"	"January"	"1"	"Connecticut"	"09"	"45-49 years"	"45-49"	10
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"15-19 years"	"15-19"	106
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"20-24 years"	"20-24"	239
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"25-29 years"	"25-29"	273
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"30-34 years"	"30-34"	212
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"35-39 years"	"35-39"	124
	"2007"	"2007"	"January"	"1"	"Delaware"	"10"	"40-44 years"	"40-44"	25
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"15-19 years"	"15-19"	88
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"20-24 years"	"20-24"	193
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"25-29 years"	"25-29"	155
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"30-34 years"	"30-34"	166
